,affinis.png,appositus.png,auricomus.png,auricomus1.png,balteatus.png,balteatus1.png,balteatus2.png,bifarius.png,bifarius2.png,bifarius3.png,bifarius4.png,bimaculatus.png,borealis.png,borealis2.png,californicus.png,californicus2.png,californicus3.png,caliginosus.png,caliginosus2.png,centralis.png,crotchii.png,crotchii1.png,crotchii2.png,fervidus.png,flavifrons.png,flavifrons2.png,flavifrons3.png,flavifrons4.png,flavifrons5.png,flavifrons6.png,franklini.png,fraternus.png,frigidus.png,griseocollis.png,huntii.png,impatiens.png,melanopygus.png,melanopygus2.png,melanopygus3.png,mixtus.png,morrisoni.png,nevadensis.png,occidentalis.png,occidentalis2.png,occidentalis3.png,sonorus.png,pennsylvanicus.png,pennsylvanicus3.png,perplexus.png,rufocinctus.png,rufocinctus2.png,rufocinctus3.png,rufocinctus4.png,sandersoni.png,sitkensis.png,sylvicola.png,sylvicola2.png,sylvicola3.png,ternarius.png,terricola.png,terricola2.png,vagans.png,vandykei.png,vosnesenskii.png
affinis.png,0,0.03940386,0.01548728,0.01405618,0.03181748,0.03240153,0.01336318,0.02565272,0.02661141,0.02606112,0.02798979,0.01791693,0.03940386,0.02874716,0.02664029,0.02217739,0.02820141,0.03080822,0.03853629,0.02108178,0.02341094,0.02700869,0.01329851,0.02479461,0.02299719,0.02994726,0.00953362,0.01180412,0.01542441,0.01318418,0.0423467,0.00784812,0.02955723,0.01492899,0.02797014,0.01600643,0.03601727,0.03145968,0.02351726,0.02294818,0.0301201,0.02402091,0.0345819,0.05153771,0.04829217,0.01455716,0.01604721,0.01742366,0.01928607,0.02030013,0.01285428,0.01296945,0.01186259,0.00767471,0.03397326,0.03280816,0.02511163,0.02822687,0.02153134,0.01742366,0.02280306,0.00775853,0.0238713,0.03080822
appositus.png,0.03940386,0,0.03261715,0.02804589,0.00746452,0.01936167,0.02190584,0.02299852,0.04179356,0.05390504,0.04905321,0.05933932,0,0.00829941,0.03820835,0.03943375,0.06096574,0.05797222,0.08205187,0.0135212,0.0257021,0.02899225,0.04194485,0.01136993,0.03300542,0.02156074,0.04034908,0.04940448,0.03958518,0.04761964,0.09392804,0.03719353,0.01735793,0.06489279,0.01808061,0.05560347,0.05039811,0.02903455,0.03592203,0.03004961,0.03330369,0.03808102,0.02271046,0.08453614,0.07416757,0.02417124,0.03660522,0.0380191,0.04509538,0.01513653,0.03761199,0.03729774,0.02864067,0.03625272,0.0441005,0.02177685,0.04194549,0.02515503,0.02393085,0.0380191,0.02905432,0.0379592,0.055108,0.05797222
auricomus.png,0.01548728,0.03261715,0,0.00135119,0.02937719,0.0336981,0.01392271,0.02447565,0.03649903,0.04147372,0.03931702,0.0225221,0.03261715,0.02279191,0.02304729,0.0294999,0.03580104,0.03896141,0.05268455,0.01716003,0.01902317,0.02189482,0.01118844,0.0171478,0.02562857,0.03708164,0.0179666,0.02553051,0.02448155,0.02760472,0.06153003,0.01487903,0.02758579,0.02672401,0.03111711,0.02184683,0.04903248,0.03922153,0.03198173,0.03148148,0.02946277,0.02082732,0.02581527,0.06685484,0.06562471,0.0066171,0.00379128,0.00207226,0.02186469,0.01651638,0.01414766,0.01480241,0.01282723,0.01528634,0.042738,0.03811734,0.03581326,0.03629977,0.02424173,0.00207226,0.00703645,0.01653447,0.02326235,0.03896141
auricomus1.png,0.01405618,0.02804589,0.00135119,0,0.02562189,0.03047802,0.01207135,0.0219957,0.03399315,0.03958662,0.0367356,0.02271872,0.02804589,0.01878783,0.0212421,0.02700562,0.03680768,0.03904876,0.05264394,0.01279455,0.01805001,0.02192252,0.01094954,0.01418485,0.02419005,0.03454827,0.01664389,0.02495244,0.02227179,0.02640948,0.0630523,0.01364629,0.02493756,0.02659503,0.02624542,0.02169379,0.04628367,0.03517788,0.03027425,0.0302697,0.02684198,0.01833369,0.02607192,0.06681367,0.06399554,0.00443245,0.00362438,0.00342422,0.0207023,0.01310538,0.01162482,0.01359415,0.01067894,0.01392123,0.04131977,0.03332661,0.03201861,0.03263436,0.02088497,0.00342422,0.00824116,0.01494928,0.02510657,0.03904876
balteatus.png,0.03181748,0.00746452,0.02937719,0.02562189,0,0.01099151,0.01760659,0.01827008,0.03237854,0.04521476,0.04079597,0.05606462,0.00746452,0.00752321,0.0300721,0.03149853,0.05324897,0.05074437,0.07521247,0.01312011,0.0187807,0.01987039,0.03660008,0.01064755,0.03206579,0.01920361,0.03525086,0.04333933,0.03516439,0.04173489,0.08579952,0.03370345,0.00936984,0.06024201,0.01298507,0.05135918,0.04485036,0.02654776,0.03416847,0.02314097,0.03473459,0.03812019,0.01607047,0.07434654,0.06286516,0.02177676,0.03473683,0.03555201,0.04368865,0.01390133,0.03308325,0.03138749,0.0242964,0.03262361,0.03544383,0.01950286,0.03463252,0.01793193,0.02029369,0.03555201,0.02574423,0.03449404,0.04757233,0.05074437
balteatus1.png,0.03240153,0.01936167,0.0336981,0.03047802,0.01099151,0,0.01679838,0.0254054,0.03360903,0.04468874,0.04002835,0.05962547,0.01936167,0.01822488,0.03004216,0.03216305,0.05483333,0.05268647,0.076959,0.02409153,0.02025276,0.02092342,0.03577184,0.02121759,0.04371756,0.02923914,0.0379051,0.04055252,0.03183521,0.03965342,0.0831608,0.03254104,0.00399005,0.06466284,0.02445195,0.0553744,0.04094832,0.03466505,0.0405791,0.02333864,0.04778592,0.04784399,0.01324577,0.07112923,0.05715559,0.02710319,0.03926498,0.03952803,0.04816536,0.02486258,0.03489655,0.02880893,0.02273365,0.03091327,0.02136928,0.02631094,0.03607279,0.018866,0.03114538,0.03952803,0.02766882,0.0340616,0.04645458,0.05268647
balteatus2.png,0.01336318,0.02190584,0.01392271,0.01207135,0.01760659,0.01679838,0,0.02501057,0.03164079,0.03819022,0.0355424,0.03203222,0.02190584,0.01504059,0.02752683,0.02567962,0.04037979,0.04235239,0.05897874,0.01376261,0.01888258,0.02262981,0.01744363,0.01133003,0.02390778,0.02344969,0.01890624,0.02112597,0.01567928,0.02228103,0.06700753,0.0087615,0.01508386,0.03691952,0.02653208,0.02847058,0.04160497,0.03368109,0.03131287,0.02465436,0.02820478,0.02505902,0.02369855,0.06479152,0.05851583,0.00868351,0.01737761,0.01891088,0.02021845,0.01190649,0.01634794,0.01241676,0.00447268,0.00930511,0.03048375,0.03178683,0.03124256,0.02691567,0.02674064,0.01891088,0.0170499,0.01139962,0.03293138,0.04235239
bifarius.png,0.02565272,0.02299852,0.02447565,0.0219957,0.01827008,0.0254054,0.02501057,0,0.01294662,0.02405577,0.01843889,0.04422451,0.02299852,0.01790041,0.01926333,0.01591657,0.02700598,0.02407886,0.04616023,0.01713088,0.0141608,0.01255067,0.02247973,0.0217949,0.03768127,0.03181543,0.03141135,0.036645,0.03362839,0.03527997,0.05714142,0.03650319,0.02166248,0.04362841,0.00932869,0.03862267,0.02750652,0.01921233,0.02568596,0.02614212,0.04527481,0.04515458,0.02265132,0.04846545,0.04040623,0.02765225,0.0270417,0.02577177,0.048314,0.02375294,0.03039902,0.03006104,0.0290555,0.03382868,0.03522861,0.01128999,0.01784899,0.01136435,0.00590623,0.02577177,0.02030976,0.03532607,0.02638533,0.02407886
bifarius2.png,0.02661141,0.04179356,0.03649903,0.03399315,0.03237854,0.03360903,0.03164079,0.01294662,0,0.00979055,0.00267295,0.04587412,0.04179356,0.03056106,0.01983579,0.0066948,0.01574706,0.01221756,0.03515415,0.03114931,0.02127729,0.01918038,0.02374902,0.03621676,0.05168598,0.04388104,0.03596609,0.03243536,0.03251521,0.03174671,0.04788669,0.03886086,0.03054449,0.04386058,0.02232105,0.03851835,0.01962227,0.03339173,0.04238027,0.03392031,0.06107551,0.06055612,0.03644471,0.03517346,0.02468667,0.04019783,0.03828616,0.03690421,0.05541335,0.03983055,0.03537457,0.03291795,0.03259262,0.03492109,0.03402014,0.02630079,0.00660184,0.01498423,0.01911833,0.03690421,0.03271749,0.036344,0.02083237,0.01221756
bifarius3.png,0.02606112,0.05390504,0.04147372,0.03958662,0.04521476,0.04468874,0.03819022,0.02405577,0.00979055,0,0.00816837,0.0433089,0.05390504,0.04249139,0.02449561,0.01187918,0.01439034,0.01416913,0.03388295,0.04137225,0.03033506,0.03001941,0.02815801,0.04486745,0.04901388,0.04453153,0.02893578,0.02342926,0.0290385,0.02474732,0.04364624,0.03766015,0.04117665,0.0383397,0.03447156,0.03834459,0.01647897,0.03268296,0.03954268,0.0331557,0.06626067,0.06419442,0.04618218,0.03621053,0.02948462,0.04522286,0.04160466,0.04009056,0.05736464,0.04853495,0.03617033,0.03501788,0.03648984,0.03580807,0.03272673,0.03740957,0.01370929,0.02667454,0.02912337,0.04009056,0.03981998,0.03626516,0.023768,0.01416913
