Sample ID,Lat,Long,T3percRed
BBSL398785,51.29939,-116.96138,0
BBSL740534,46.10825,-117.2458,0
BBSL740634,45.70638,-117.29303,0
BBSL741878,42.26207,-123.58508,0
BBSL741963,41.96575,-123.50289,0
BBSL754478,45.15706,-118.06301,0
BBSL756494,47.44,-122.3,0
BBSL760187,47.05933,-122.92552,0
BBSL760197,47.4775,-123.08805,0
BBSL760344,48.09788,-123.41248,0
BBSL760389,48.02908,-123.3351,0
BBSL760395,48.02908,-123.3351,0
BBSL761103,48.1027,-123.4105,0
BBSL762337,42.27179,-122.6074,0
BBSL762341,42.27179,-122.6074,0
BBSL762391,42.2411,-122.30762,0
BBSL762719,47.16485,-121.74509,0
BBSL762761,45.36788,-122.00958,0
BBSL762809,45.36788,-122.00958,0
BBSL762952,46.53815,-122.10821,0
BBSL762972,48.59934,-120.54421,0
BBSL762975,48.59934,-120.54421,0
BBSL762983,48.59934,-120.54421,0
BBSL763039,48.62165,-120.83583,0
BBSL763051,48.62165,-120.83583,0
BBSL763056,48.48593,-121.0843,0
BBSL763074,46.09337,-117.87672,0
BBSL763095,46.09337,-117.87672,0
BBSL763417,45.77617,-118.08175,0
BBSL798583,60.9584,-149.1116,0
BBSL873291,45.9671,-121.3415,0
BBSL989332,48.12529,-122.93248,0
OSAC0000963922,42.025196,-123.144111,0
OSAC0000963926,44.504302,-123.551217,0
OSAC0000963930,45.125618,-121.537371,0
OSAC0000963931,45.125618,-121.537371,0
OSAC0000963940,44.861162,-122.626908,0
OSAC0000963941,44.38195,-123.597119,0
OSAC0000963943,44.624385,-122.717315,0
OSAC0000963944,44.134617,-121.773034,0
OSAC0000963947,42.080579,-122.717074,0
OSAC0000963949,44.870897,-123.496196,0
OSAC0000963950,44.624385,-122.717315,0
OSAC0000963953,43.709562,-122.299856,0
OSAC0000963955,45.213814,-117.202736,0
OSAC0000963978,42.380669,-122.210239,0
OSAC0000963979,42.265765,-122.451649,0
OSAC0000963980,42.265765,-122.451649,0
OSAC0000963982,43.223236,-123.357863,0
OSAC0000963983,42.380669,-122.210239,0
OSAC0000963987,43.223236,-123.357863,0
OSAC0000963988,43.747244,-122.461761,0
OSAC0000963989,44.50117,-123.445156,0
OSAC0000963990,44.553916,-123.27255,0
OSAC0000963992,42.737879,-122.713973,0
OSAC0000963993,42.21281,-122.61815,0
OSAC0000963995,45.47285,-122.27067,0
OSAC0000963996,44.553916,-123.27255,0
OSAC0000963997,42.21281,-122.61815,0
OSAC0000963999,42.21281,-122.61815,0
OSAC0000964001,46.015798,-122.876008,0
OSAC0000964002,39.459265,-120.21876,0
OSAC0000964003,44.324328,-118.689522,0
OSAC0000964004,44.553916,-123.27255,0
OSAC0000964006,39.459265,-120.21876,0
OSAC0000964007,44.26021,-121.81009,0
OSAC0000964008,44.50117,-123.445156,0
OSAC0000964009,43.103519,-123.57713,0
OSAC0000964011,46.089,-122.93594,0
OSAC0000964012,44.553916,-123.27255,0
OSAC0000964013,44.504302,-123.551217,0
OSAC0000964016,44.504302,-123.551217,0
OSAC0000964018,44.96049,-118.23306,0
OSAC0000964019,45.26756,-117.212795,0
OSAC0000964021,45.43443,-118.39251,0
OSAC0000964022,44.624385,-122.717315,0
OSAC0000964023,44.16114,-122.33413,0
OSAC0000964025,45.02847,-117.91993,0
OSAC0000964026,44.63805,-123.57749,0
OSAC0000964028,45.40055,-121.67864,0
OSAC0000964029,45.57955,-121.79255,0
OSAC0000964032,44.861162,-122.626908,0
OSAC0000964033,44.861162,-122.626908,0
OSAC0000964036,45.52306,-122.67648,0
OSAC0000964040,42.11987,-122.37276,0
OSAC0000964041,42.11987,-122.37276,0
OSAC0000964042,44.78139,-121.976606,0
OSAC0000964043,44.64234,-123.31565,0
OSAC0000964046,44.54912,-123.45918,0
OSAC0000964049,44.83673,-123.65168,0
OSAC0000964051,44.39666,-122.48476,0
OSAC0000964091,44.553916,-123.27255,0
OSAC0000964093,45.51989,-121.594949,0
OSAC0000964096,44.78139,-121.976606,0
OSAC0000964100,44.553916,-123.27255,0
OSAC0000964102,44.553916,-123.27255,0
OSAC0000964244,48.784089,-121.81435,0
OSAC0000964247,48.784089,-121.81435,0
OSAC0000964250,47.530284,-122.120987,0
OSAC0000964255,47.530284,-122.120987,0
HH15_1803_1,42,-122.77,0
HH15_1803_2,42,-122.77,0
HH15_3305,45.30289,-121.79368,0
HH15_2101,42.30042,-122.25036,0
HH15_1904_1,42.11452,-122.68003,0
HH15_1904_2,42.11452,-122.68003,0
HH15_1904_3,42.11452,-122.68003,0
HH15_1904_4,42.11452,-122.68003,0
HH15_1904_5,42.11452,-122.68003,0
HH15_1904_6,42.11452,-122.68003,0
HH15_1904_7,42.11452,-122.68003,0
HH15_1904_8,42.11452,-122.68003,0
HH15_1904_9,42.11452,-122.68003,0
HH15_1904_10,42.11452,-122.68003,0
HH15_2605_1,43.90778,-122.1968,0
HH15_2605_2,43.90778,-122.1968,0
HH15_2605_3,43.90778,-122.1968,0
HH15_2605_4,43.90778,-122.1968,0
HH15_2605,43.90778,-122.1968,0
HH15_1003_1,40.51667,-121.49402,0
HH15_1003_2,40.51667,-121.49402,0
HH15_1003_3,40.51667,-121.49402,0
HH15_1003_4,40.51667,-121.49402,0
HH15_1101,40.46573,-121.51504,0
HH15_3905_1,45.64764,-118.12817,0
BBSL763035,48.62165,-120.83583,0.0125
HH15_1003_7,40.51667,-121.49402,0.03125
