Species,Lat,Long,Sample ID,T3percRed,X5
Flavifrons,48.784089,-121.81435,OSAC0000964244,0,NA
Flavifrons,48.784089,-121.81435,OSAC0000964247,0,NA
Flavifrons,48.62165,-120.83583,BBSL763039,0,NA
Flavifrons,48.62165,-120.83583,BBSL763051,0,NA
Flavifrons,48.59934,-120.54421,BBSL762972,0,NA
Flavifrons,48.59934,-120.54421,BBSL762975,0,NA
Flavifrons,48.59934,-120.54421,BBSL762983,0,NA
Flavifrons,48.48593,-121.0843,BBSL763056,0,NA
Flavifrons,48.12529,-122.93248,BBSL989332,0,NA
Flavifrons,48.1027,-123.4105,BBSL761103,0,NA
Flavifrons,48.09788,-123.41248,BBSL760344,0,NA
Flavifrons,48.02908,-123.3351,BBSL760389,0,NA
Flavifrons,48.02908,-123.3351,BBSL760395,0,NA
Flavifrons,47.530284,-122.120987,OSAC0000964250,0,NA
Flavifrons,47.530284,-122.120987,OSAC0000964255,0,NA
Flavifrons,47.4775,-123.08805,BBSL760197,0,NA
Flavifrons,47.44,-122.3,BBSL756494,0,NA
Flavifrons,47.16485,-121.74509,BBSL762719,0,NA
Flavifrons,47.05933,-122.92552,BBSL760187,0,NA
Flavifrons,46.53815,-122.10821,BBSL762952,0,NA
Flavifrons,46.10825,-117.2458,BBSL740534,0,NA
Flavifrons,46.09337,-117.87672,BBSL763074,0,NA
Flavifrons,46.09337,-117.87672,BBSL763095,0,NA
Flavifrons,46.089,-122.93594,OSAC0000964011,0,NA
Flavifrons,46.015798,-122.876008,OSAC0000964001,0,NA
Flavifrons,45.9671,-121.3415,BBSL873291,0,NA
Flavifrons,45.77617,-118.08175,BBSL763417,0,NA
Flavifrons,45.70638,-117.29303,BBSL740634,0,NA
Flavifrons,45.64764,-118.12817,HH15_3905_1,0,NA
Flavifrons,45.57955,-121.79255,OSAC0000964029,0,NA
Flavifrons,45.52306,-122.67648,OSAC0000964036,0,NA
Flavifrons,45.51989,-121.594949,OSAC0000964093,0,NA
Flavifrons,45.47285,-122.27067,OSAC0000963995,0,NA
Flavifrons,45.43443,-118.39251,OSAC0000964021,0,NA
Flavifrons,45.40055,-121.67864,OSAC0000964028,0,NA
Flavifrons,45.36788,-122.00958,BBSL762761,0,NA
Flavifrons,45.36788,-122.00958,BBSL762809,0,NA
Flavifrons,45.30289,-121.79368,HH15_3305,0,NA
Flavifrons,45.26756,-117.212795,OSAC0000964019,0,NA
Flavifrons,45.213814,-117.202736,OSAC0000963955,0,NA
Flavifrons,45.15706,-118.06301,BBSL754478,0,NA
Flavifrons,45.125618,-121.537371,OSAC0000963930,0,NA
Flavifrons,45.125618,-121.537371,OSAC0000963931,0,NA
Flavifrons,45.02847,-117.91993,OSAC0000964025,0,NA
Flavifrons,44.96049,-118.23306,OSAC0000964018,0,NA
Flavifrons,44.870897,-123.496196,OSAC0000963949,0,NA
Flavifrons,44.861162,-122.626908,OSAC0000963940,0,NA
Flavifrons,44.861162,-122.626908,OSAC0000964032,0,NA
Flavifrons,44.861162,-122.626908,OSAC0000964033,0,NA
Flavifrons,44.83673,-123.65168,OSAC0000964049,0,NA
Flavifrons,44.78139,-121.976606,OSAC0000964042,0,NA
Flavifrons,44.78139,-121.976606,OSAC0000964096,0,NA
Flavifrons,44.64234,-123.31565,OSAC0000964043,0,NA
Flavifrons,44.63805,-123.57749,OSAC0000964026,0,NA
Flavifrons,44.624385,-122.717315,OSAC0000963943,0,NA
Flavifrons,44.624385,-122.717315,OSAC0000963950,0,NA
Flavifrons,44.624385,-122.717315,OSAC0000964022,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000963990,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000963996,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000964004,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000964012,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000964091,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000964100,0,NA
Flavifrons,44.553916,-123.27255,OSAC0000964102,0,NA
Flavifrons,44.54912,-123.45918,OSAC0000964046,0,NA
Flavifrons,44.504302,-123.551217,OSAC0000963926,0,NA
Flavifrons,44.504302,-123.551217,OSAC0000964013,0,NA
Flavifrons,44.504302,-123.551217,OSAC0000964016,0,NA
Flavifrons,44.50117,-123.445156,OSAC0000963989,0,NA
Flavifrons,44.50117,-123.445156,OSAC0000964008,0,NA
Flavifrons,44.39666,-122.48476,OSAC0000964051,0,NA
Flavifrons,44.38195,-123.597119,OSAC0000963941,0,NA
Flavifrons,44.324328,-118.689522,OSAC0000964003,0,NA
Flavifrons,44.26021,-121.81009,OSAC0000964007,0,NA
Flavifrons,44.16114,-122.33413,OSAC0000964023,0,NA
Flavifrons,44.134617,-121.773034,OSAC0000963944,0,NA
Flavifrons,43.90778,-122.1968,HH15_2605_1,0,NA
Flavifrons,43.90778,-122.1968,HH15_2605_2,0,NA
Flavifrons,43.90778,-122.1968,HH15_2605_3,0,NA
Flavifrons,43.90778,-122.1968,HH15_2605_4,0,NA
Flavifrons,43.90778,-122.1968,HH15_2605,0,NA
Flavifrons,43.747244,-122.461761,OSAC0000963988,0,NA
Flavifrons,43.709562,-122.299856,OSAC0000963953,0,NA
Flavifrons,43.223236,-123.357863,OSAC0000963982,0,NA
Flavifrons,43.223236,-123.357863,OSAC0000963987,0,NA
Flavifrons,43.103519,-123.57713,OSAC0000964009,0,NA
Flavifrons,42.737879,-122.713973,OSAC0000963992,0,NA
Flavifrons,42.380669,-122.210239,OSAC0000963978,0,NA
Flavifrons,42.380669,-122.210239,OSAC0000963983,0,NA
Flavifrons,42.30042,-122.25036,HH15_2101,0,NA
Flavifrons,42.27179,-122.6074,BBSL762337,0,NA
Flavifrons,42.27179,-122.6074,BBSL762341,0,NA
Flavifrons,42.265765,-122.451649,OSAC0000963979,0,NA
Flavifrons,42.265765,-122.451649,OSAC0000963980,0,NA
Flavifrons,42.26207,-123.58508,BBSL741878,0,NA
Flavifrons,42.2411,-122.30762,BBSL762391,0,NA
Flavifrons,42.21281,-122.61815,OSAC0000963993,0,NA
Flavifrons,42.21281,-122.61815,OSAC0000963997,0,NA
Flavifrons,42.21281,-122.61815,OSAC0000963999,0,NA
Flavifrons,42.11987,-122.37276,OSAC0000964040,0,NA
Flavifrons,42.11987,-122.37276,OSAC0000964041,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_1,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_2,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_3,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_4,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_5,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_6,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_7,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_8,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_9,0,NA
Flavifrons,42.11452,-122.68003,HH15_1904_10,0,NA
Flavifrons,42.080579,-122.717074,OSAC0000963947,0,NA
Flavifrons,42.025196,-123.144111,OSAC0000963922,0,NA
Flavifrons,42,-122.77,HH15_1803_1,0,NA
Flavifrons,42,-122.77,HH15_1803_2,0,NA
Flavifrons,41.96575,-123.50289,BBSL741963,0,NA
Flavifrons,40.51667,-121.49402,HH15_1003_1,0,NA
Flavifrons,40.51667,-121.49402,HH15_1003_2,0,NA
Flavifrons,40.51667,-121.49402,HH15_1003_3,0,NA
Flavifrons,40.51667,-121.49402,HH15_1003_4,0,NA
Flavifrons,40.46573,-121.51504,HH15_1101,0,NA
