Species,Lat,Long,Sample ID,T3percRed,X5
Flavifrons,41.03635,-106.88365,BBSL226705,1,NA
Flavifrons,41.0409,-105.5635,BBSL226710,1,NA
Flavifrons,42.0836,-111.6209,BBSL228068,1,NA
Flavifrons,41.9015,-111.6421,BBSL228072,1,NA
Flavifrons,41.8874,-111.5962,BBSL398961,1,NA
Flavifrons,37.6522,-112.82464,BBSL398972,1,NA
Flavifrons,48.6254,-118.9395,BBSL696546,1,NA
Flavifrons,48.6848,-119.9255,BBSL696724,1,NA
Flavifrons,48.8568,-119.9463,BBSL696861,1,NA
Flavifrons,48.866,-119.0532,BBSL696984,1,NA
Flavifrons,48.6003,-119.9355,BBSL697438,1,NA
Flavifrons,45.00276,-116.15892,BBSL740512,1,NA
Flavifrons,39.0116,-107.0526,BBSL744519,1,NA
Flavifrons,44.7603,-107.5948,BBSL744557,1,NA
Flavifrons,42.1988,-113.667,BBSL744687,1,NA
Flavifrons,44.7438,-111.259,BBSL744957,1,NA
Flavifrons,40.6065,-111.555,BBSL745188,1,NA
Flavifrons,39.8938,-111.0527,BBSL754274,1,NA
Flavifrons,39.8938,-111.0527,BBSL754278,1,NA
Flavifrons,39.8938,-111.0527,BBSL754310,1,NA
Flavifrons,41.94909,-113.34954,BBSL760923,1,NA
Flavifrons,40.6065,-111.555,BBSL761015,1,NA
Flavifrons,48.39298,-119.90317,BBSL763311,1,NA
Flavifrons,45.00649,-117.57936,BBSL763498,1,NA
Flavifrons,35.7425,-114.8396,BBSL763543,1,NA
Flavifrons,44.75118,-111.26383,BBSL763661,1,NA
Flavifrons,45.31757,-110.56695,BBSL763804,1,NA
Flavifrons,45.69219,-113.95238,BBSL763947,1,NA
Flavifrons,45.69219,-113.95238,BBSL763949,1,NA
Flavifrons,45.69219,-113.95238,BBSL763950,1,NA
Flavifrons,48.30446,-113.98406,BBSL764067,1,NA
Flavifrons,48.85286,-116.27901,BBSL764153,1,NA
Flavifrons,46.85804,-110.67823,BBSL764299,1,NA
Flavifrons,44.16488,-107.2138,BBSL764341,1,NA
Flavifrons,44.1681,-107.2109,BBSL764375,1,NA
Flavifrons,44.80227,-107.90035,BBSL764395,1,NA
Flavifrons,44.80227,-107.90035,BBSL764459,1,NA
Flavifrons,41.32207,-106.41233,BBSL764819,1,NA
Flavifrons,39.94036,-105.5595,BBSL765407,1,NA
Flavifrons,38.32304,-107.4761,BBSL765627,1,NA
Flavifrons,38.32304,-107.4761,BBSL765634,1,NA
Flavifrons,33.3994,-105.7895,BBSL767822,1,NA
Flavifrons,37.3838,-113.0293,ZION24174,1,NA
Flavifrons,45.43953,-117.35072,OSAC0000964079,1,NA
Flavifrons,37.635962,-112.845047,OSAC0000964110,1,NA
Flavifrons,40.667,-115.42715,OSAC0000964122,1,NA
Flavifrons,42.738562,-118.644603,OSAC0000964161,1,NA
Flavifrons,42.738562,-118.644603,OSAC0000964162,1,NA
Flavifrons,42.738562,-118.644603,OSAC0000964164,1,NA
Flavifrons,42.738562,-118.644603,OSAC0000964169,1,NA
Flavifrons,40.291974,-105.643638,OSAC0000964195,1,NA
Flavifrons,40.356726,-105.70117,OSAC0000964196,1,NA
Flavifrons,41.315817,-105.573346,OSAC0000964197,1,NA
Flavifrons,40.356726,-105.70117,OSAC0000964198,1,NA
Flavifrons,42.300201,-120.123587,OSAC0000964199,1,NA
Flavifrons,41.315817,-105.573346,OSAC0000964200,1,NA
Flavifrons,42.300201,-120.123587,OSAC0000964213,1,NA
Flavifrons,40.291039,-105.642323,OSAC0000964214,1,NA
Flavifrons,40.667,-115.42715,OSAC0000964217,1,NA
Flavifrons,43.78299,-116.08553,HH15_0203,1,NA
