cell,Sample ID,Lat,Long,T3percRed,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
319,BBSL763039,48.62165,-120.83583,0,-0.934664901,-0.003984925,-1,-0.485531924,0.065335099,0.481546999,0.485959038
319,BBSL763051,48.62165,-120.83583,0,-0.934664901,-0.003984925,-1,-0.485531924,0.065335099,0.481546999,0.485959038
319,BBSL763056,48.48593,-121.0843,0,-0.934664901,-0.003984925,-1,-0.485531924,0.065335099,0.481546999,0.485959038
319,BBSL873291,45.9671,-121.3415,0,-0.934664901,-0.003984925,-1,-0.485531924,0.065335099,0.481546999,0.485959038
319,OSAC0000963930,45.125618,-121.537371,0,-0.934664901,-0.003984925,-1,-0.485531924,0.065335099,0.481546999,0.485959038
317,BBSL760344,48.09788,-123.41248,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
317,BBSL760389,48.02908,-123.3351,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
317,BBSL760395,48.02908,-123.3351,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
317,BBSL761103,48.1027,-123.4105,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
317,BBSL989332,48.12529,-122.93248,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
317,OSAC0000963922,42.025196,-123.144111,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
317,OSAC0000963926,44.504302,-123.551217,0,-0.909560844,-0.135783333,-1,-0.485531924,0.090439156,0.349748591,0.36125243
320,BBSL762972,48.59934,-120.54421,0,-0.89185796,-0.243267627,-1,-0.485531924,0.10814204,0.242264297,0.265304901
320,BBSL762975,48.59934,-120.54421,0,-0.89185796,-0.243267627,-1,-0.485531924,0.10814204,0.242264297,0.265304901
320,BBSL762983,48.59934,-120.54421,0,-0.89185796,-0.243267627,-1,-0.485531924,0.10814204,0.242264297,0.265304901
318,BBSL762337,42.27179,-122.6074,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
318,BBSL762341,42.27179,-122.6074,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
318,BBSL762391,42.2411,-122.30762,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
318,BBSL762719,47.16485,-121.74509,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
318,BBSL762761,45.36788,-122.00958,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
318,BBSL762809,45.36788,-122.00958,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
318,BBSL762952,46.53815,-122.10821,0,-0.882266936,-0.139669563,-1,-0.485531924,0.117733064,0.345862361,0.365351676
299,OSAC0000964002,39.459265,-120.21876,0,-0.875672981,-0.103066712,-1,-0.485531924,0.124327019,0.382465212,0.402165197
299,OSAC0000964006,39.459265,-120.21876,0,-0.875672981,-0.103066712,-1,-0.485531924,0.124327019,0.382465212,0.402165197
298,OSAC0000963931,45.125618,-121.537371,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,OSAC0000964093,45.51989,-121.594949,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,HH15_1003_1,40.51667,-121.49402,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,HH15_1003_2,40.51667,-121.49402,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,HH15_1003_3,40.51667,-121.49402,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,HH15_1003_4,40.51667,-121.49402,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
298,HH15_1101,40.46573,-121.51504,0,-0.875241538,-0.041423447,-1,-0.485531924,0.124758462,0.444108476,0.461299266
297,OSAC0000963940,44.861162,-122.626908,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963944,44.134617,-121.773034,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963953,43.709562,-122.299856,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963978,42.380669,-122.210239,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963979,42.265765,-122.451649,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963980,42.265765,-122.451649,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963983,42.380669,-122.210239,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963988,43.747244,-122.461761,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963993,42.21281,-122.61815,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
297,OSAC0000963995,45.47285,-122.27067,0,-0.822984746,-0.16794431,-1,-0.485531924,0.177015254,0.317587614,0.363588081
