USA1_alt,Sample ID,Lat,Long,T3percRed,Color
,BBSL398785,51.29939,-116.96138,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1435,BBSL740634,45.70638,-117.29303,0,1
484,BBSL741878,42.26207,-123.58508,0,1
1124,BBSL741963,41.96575,-123.50289,0,1
1359,BBSL754478,45.15706,-118.06301,0,1
110,BBSL756494,47.44,-122.3,0,1
65,BBSL760187,47.05933,-122.92552,0,1
70,BBSL760197,47.4775,-123.08805,0,1
137,BBSL760344,48.09788,-123.41248,0,1
137,BBSL760344,48.09788,-123.41248,0,1
359,BBSL760389,48.02908,-123.3351,0,1
359,BBSL760389,48.02908,-123.3351,0,1
81,BBSL761103,48.1027,-123.4105,0,1
1561,BBSL762337,42.27179,-122.6074,0,1
1561,BBSL762337,42.27179,-122.6074,0,1
1760,BBSL762391,42.2411,-122.30762,0,1
507,BBSL762719,47.16485,-121.74509,0,1
382,BBSL762761,45.36788,-122.00958,0,1
382,BBSL762761,45.36788,-122.00958,0,1
330,BBSL762952,46.53815,-122.10821,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1081,BBSL763039,48.62165,-120.83583,0,1
1081,BBSL763039,48.62165,-120.83583,0,1
1081,BBSL763039,48.62165,-120.83583,0,1
1081,BBSL763039,48.62165,-120.83583,0,1
1081,BBSL763039,48.62165,-120.83583,0,1
1081,BBSL763039,48.62165,-120.83583,0,1
900,BBSL763056,48.48593,-121.0843,0,1
900,BBSL763056,48.48593,-121.0843,0,1
900,BBSL763056,48.48593,-121.0843,0,1
900,BBSL763056,48.48593,-121.0843,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1504,BBSL763417,45.77617,-118.08175,0,1
1504,BBSL763417,45.77617,-118.08175,0,1
