USA1_alt,Sample ID,Lat,Long,T3percRed,Color
1331,BBSL740534,46.10825,-117.2458,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1331,BBSL740534,46.10825,-117.2458,0,1
1435,BBSL740634,45.70638,-117.29303,0,1
1359,BBSL754478,45.15706,-118.06301,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1149,BBSL762972,48.59934,-120.54421,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1444,BBSL763074,46.09337,-117.87672,0,1
1504,BBSL763417,45.77617,-118.08175,0,1
1504,BBSL763417,45.77617,-118.08175,0,1
2351,OSAC0000963955,45.21381,-117.20274,0,1
2351,OSAC0000963955,45.21381,-117.20274,0,1
2351,OSAC0000963955,45.21381,-117.20274,0,1
2351,OSAC0000963955,45.21381,-117.20274,0,1
2103,OSAC0000964003,44.32433,-118.68952,0,1
2103,OSAC0000964003,44.32433,-118.68952,0,1
2183,OSAC0000964018,44.96049,-118.23306,0,1
1407,OSAC0000964019,45.26756,-117.21279,0,1
1407,OSAC0000964019,45.26756,-117.21279,0,1
1407,OSAC0000964019,45.26756,-117.21279,0,1
1407,OSAC0000964019,45.26756,-117.21279,0,1
1407,OSAC0000964019,45.26756,-117.21279,0,1
1407,OSAC0000964019,45.26756,-117.21279,0,1
1300,OSAC0000964021,45.43443,-118.39251,0,1
994,OSAC0000964025,45.02847,-117.91993,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1402,HH15_3905_1,45.64764,-118.12817,0,1
1423,BBSL740597,45.69974,-117.2947,0.04063,2
1423,BBSL740597,45.69974,-117.2947,0.04063,2
1423,BBSL740597,45.69974,-117.2947,0.04063,2
1423,BBSL740597,45.69974,-117.2947,0.04063,2
1423,BBSL740597,45.69974,-117.2947,0.04063,2
1679,HH15_4004,45.50712,-118.11169,0.04375,2
1461,BBSL740575,46.11186,-117.25697,0.06875,2
1343,BBSL740683,44.96838,-117.43202,0.06875,2
2120,OSAC0000963954,44.58269,-118.62608,0.10625,2
2120,OSAC0000963954,44.58269,-118.62608,0.10625,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1648,OSAC0000964014,45.00893,-117.19164,0.17,2
1149,OSAC0000964024,45.50189,-118.53767,0.17,2
1709,OSAC0000963994,45.15704,-117.03366,0.26719,2
1709,OSAC0000963994,45.15704,-117.03366,0.26719,2
1921,HH15_5005_2,44.31334,-118.67955,0.28437,2
1921,HH15_5005_2,44.31334,-118.67955,0.28437,2
1921,HH15_5005_2,44.31334,-118.67955,0.28437,2
1620,HH15_4704_1,45.29559,-117.39569,0.28437,2
1620,HH15_4704_1,45.29559,-117.39569,0.28437,2
1767,OSAC0000964177,45.41122,-116.74439,0.50469,2
1767,OSAC0000964177,45.41122,-116.74439,0.50469,2
1359,BBSL754508,45.15691,-118.06286,0.59062,2
2403,OSAC0000964209,44.94742,-118.24537,0.6875,2
2403,OSAC0000964209,44.94742,-118.24537,0.6875,2
911,OSAC0000964089,44.81691,-117.36419,0.85156,2
2275,OSAC0000964116,44.95752,-118.23086,0.88125,2
1390,BBSL696546,48.6254,-118.9395,1,3
2198,BBSL696724,48.6848,-119.9255,1,3
1729,BBSL696861,48.8568,-119.9463,1,3
1144,BBSL696984,48.866,-119.0532,1,3
2014,BBSL697438,48.6003,-119.9355,1,3
1258,BBSL763311,48.39298,-119.90317,1,3
1212,BBSL763498,45.00649,-117.57936,1,3
1148,OSAC0000964079,45.43953,-117.35072,1,3
2268,OSAC0000964161,42.73856,-118.6446,1,3
2268,OSAC0000964161,42.73856,-118.6446,1,3
2268,OSAC0000964161,42.73856,-118.6446,1,3
2268,OSAC0000964161,42.73856,-118.6446,1,3
2343,OSAC0000964199,42.3002,-120.12359,1,3
2343,OSAC0000964199,42.3002,-120.12359,1,3
