cell,Specimen.ID,Species,T2T3Red,Lat,Lon,X,Y,TemplateX,TemplateY,Difference1,Difference2,Distance
547,AMNH_BEE 00121353,melanopygus,0,34.395,-112.468,-0.431795979,-0.201758684,0.692180741,0.487384629,-1.12397672,-0.689143313,1.318424124
608,BBSL226661,melanopygus,0,32.45667,-110.49398,-0.263516295,-0.23657243,0.692180741,0.487384629,-0.955697035,-0.723957058,1.198945639
608,BBSL226662,melanopygus,0,32.45667,-110.49398,-0.263516295,-0.23657243,0.692180741,0.487384629,-0.955697035,-0.723957058,1.198945639
608,BBSL226663,melanopygus,0,32.45667,-110.49398,-0.263516295,-0.23657243,0.692180741,0.487384629,-0.955697035,-0.723957058,1.198945639
608,BBSL226664,melanopygus,0,32.4913,-110.9248,-0.263516295,-0.23657243,0.692180741,0.487384629,-0.955697035,-0.723957058,1.198945639
486,BBSL398679,melanopygus,0,36.3064,-114.1622,-0.114521873,-0.024002277,0.692180741,0.487384629,-0.806702614,-0.511386905,0.955136469
486,BBSL398678,melanopygus,0,36.3537,-114.1447,-0.114521873,-0.024002277,0.692180741,0.487384629,-0.806702614,-0.511386905,0.955136469
424,ENT.709301,melanopygus,0,37.423792,-118.772734,-0.089405619,0.127139788,0.692180741,0.487384629,-0.78158636,-0.360244841,0.86061233
424,BMEC_ENT 00007078,melanopygus,0,37.82611,-118.87166,-0.089405619,0.127139788,0.692180741,0.487384629,-0.78158636,-0.360244841,0.86061233
517,BBSL239824,melanopygus,0,34.9132,-111.7187,-0.056732592,-0.085236853,0.692180741,0.487384629,-0.748913332,-0.572621481,0.942744154
517,BBSL239826,melanopygus,0,34.9132,-111.7187,-0.056732592,-0.085236853,0.692180741,0.487384629,-0.748913332,-0.572621481,0.942744154
517,BMEC_ENT 00006982,melanopygus,0,34.94538,-111.75294,-0.056732592,-0.085236853,0.692180741,0.487384629,-0.748913332,-0.572621481,0.942744154
517,BMEC_ENT 00006983,melanopygus,0,34.94538,-111.75294,-0.056732592,-0.085236853,0.692180741,0.487384629,-0.748913332,-0.572621481,0.942744154
517,BMEC_ENT 00006984,melanopygus,0,34.94538,-111.75294,-0.056732592,-0.085236853,0.692180741,0.487384629,-0.748913332,-0.572621481,0.942744154
517,BMEC_ENT 00006985,melanopygus,0,34.94538,-111.75294,-0.056732592,-0.085236853,0.692180741,0.487384629,-0.748913332,-0.572621481,0.942744154
457,BBSL343345,melanopygus,0,37.0386,-112.715,-0.035914044,-0.093753745,0.692180741,0.487384629,-0.728094785,-0.581138373,0.931581357
457,BBSL398982,melanopygus,0,37.0404,-112.73829,-0.035914044,-0.093753745,0.692180741,0.487384629,-0.728094785,-0.581138373,0.931581357
604,562524,melanopygus,0,32.714853,-117.146662,0.027181395,0.021153919,0.692180741,0.487384629,-0.664999345,-0.466230709,0.812154668
604,562527,melanopygus,0,32.720278,-117.145,0.027181395,0.021153919,0.692180741,0.487384629,-0.664999345,-0.466230709,0.812154668
427,ZION23411,melanopygus,0,37.2694,-112.9166,0.141368756,0.154314746,0.692180741,0.487384629,-0.550811985,-0.333069883,0.643684231
427,ZION23421,melanopygus,0,37.2694,-112.9166,0.141368756,0.154314746,0.692180741,0.487384629,-0.550811985,-0.333069883,0.643684231
