Specimen.I,Species,Complex,Year,Lat,Lon,Color.Code,Color,Notes,T2T3Red,USA1_alt
562533,melanopygus,Pacific,1947,38.241944,-121.511389,E3M,Black,,0,2
562530,melanopygus,Pacific,1917,33.606389,-117.894444,A4M,Black,,0,3
562543,melanopygus,Pacific,1916,37.583889,-122.365833,A7M,Black,,0,3
562544,melanopygus,Pacific,1916,37.583889,-122.365833,E3M,Black,,0,3
562247,melanopygus,Pacific,1964,38.086667,-122.840278,A9M,Black,,0,6
562248,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562249,melanopygus,Pacific,1964,38.086667,-122.840278,P10M,Black,,0,6
562250,melanopygus,Pacific,1964,38.086667,-122.840278,P8M,Black,,0,6
562251,melanopygus,Pacific,1964,38.086667,-122.840278,E3M,Black,,0,6
562252,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562253,melanopygus,Pacific,1964,38.086667,-122.840278,E3M,Black,,0,6
562254,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562255,melanopygus,Pacific,1964,38.086667,-122.840278,A9M,Black,,0,6
562256,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562257,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562258,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562259,melanopygus,Pacific,1964,38.086667,-122.840278,A9M,Black,,0,6
562260,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562261,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562262,melanopygus,Pacific,1964,38.086667,-122.840278,A9M,Black,,0,6
562263,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562264,melanopygus,Pacific,1964,38.086667,-122.840278,P10M,Black,,0,6
562265,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562266,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562267,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562268,melanopygus,Pacific,1964,38.086667,-122.840278,A8M,Black,,0,6
562269,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562270,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562271,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562272,melanopygus,Pacific,1964,38.086667,-122.840278,P8M,Black,,0,6
562273,melanopygus,Pacific,1964,38.086667,-122.840278,P8M,Black,,0,6
562274,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562275,melanopygus,Pacific,1964,38.086667,-122.840278,A9M,Black,,0,6
562276,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562277,melanopygus,Pacific,1964,38.086667,-122.840278,A5M,Black,,0,6
562278,melanopygus,Pacific,1964,38.086667,-122.840278,A4M,Black,,0,6
562279,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
562280,melanopygus,Pacific,1964,38.086667,-122.840278,A7M,Black,,0,6
Bme 004 voucher gen,melanopygus,Pacific,2014,43.95611667,-124.1374444,,Black,,0,6
Bme 015 voucher genomic,melanopygus,Pacific,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B029,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B031,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B053,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B054,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B058,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B060,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B069,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B072,melanopygus,,2014,43.95638333,-124.1371056,,Black,,0,6
Bmel B025 Queen,melanopygus,Pacific,2015,43.95638333,-124.1371056,,Black,,0,6
Bmel B034 Queen,melanopygus,Pacific,2015,43.956923,-124.141151,,Black,,0,6
562558,melanopygus,Pacific,1939,37.866944,-121.637778,A7M,Black,,0,7
BMEC_ENT 00006148,melanopygus,Pacific,1964,38.6,-121.5,P6,Black,,0,7
BMEC_ENT 00007063,melanopygus,Pacific,1971,34.43583,-119.82777,E2,Black,,0,9
562485,melanopygus,Pacific,1968,35.031389,-120.621944,A4M,Black,,0,9
BMEC_ENT 00006714,melanopygus,Pacific,1968,34.42083,-119.69722,E2,Black,,0,11
AMNH_BEE 00054326,melanopygus,Pacific,1936,38.005,-121.80472,A4M,Black,,0,12
AMNH_BEE 00054903,melanopygus,Pacific,1936,38.005,-121.80472,P9M,Black,,0,12
BMEC_ENT 00006154,melanopygus,Pacific,1963,38.545,-121.74055,A7,Black,,0,14
BMEC_ENT 00006155,melanopygus,Pacific,1976,38.545,-121.74055,E1,Black,,0,14
BMEC_ENT 00006180,melanopygus,Pacific,1952,38.545,-121.74055,E1,Black,,0,14
BMEC_ENT 00006181,melanopygus,Pacific,1954,38.545,-121.74055,E1,Black,,0,14
BMEC_ENT 00006156,melanopygus,Pacific,1968,38.545,-121.73944,E2,Black,,0,14
BMEC_ENT 00006172,melanopygus,Pacific,1965,38.545,-121.73944,P10,Black,,0,14
BMEC_ENT 00006173,melanopygus,Pacific,1964,38.545,-121.73944,E1,Black,,0,14
BMEC_ENT 00006174,melanopygus,Pacific,1964,38.545,-121.73944,E1,Black,,0,14
BMEC_ENT 00006828,melanopygus,Pacific,1963,38.545,-121.73944,P6,Black,,0,14
BMEC_ENT 00006909,melanopygus,Pacific,1957,38.545,-121.73944,A8,Black,,0,14
BMEC_ENT 00006937,melanopygus,Pacific,1905,38.545,-121.73944,E1,Black,,0,14
ENT.710932,melanopygus,Pacific,1966,37.724926,-122.156078,P6,Black,,0,15
562491,melanopygus,Pacific,1974,35.335278,-120.823056,A4M,Black,,0,16
BBSL226665,melanopygus,Pacific,1913,37.775,-122.41833,E1,Black,but T2 like that in P10),0,16
561635,melanopygus,Pacific,1947,36.620833,-121.936389,P6,Black,,0,17
BMEC_ENT 00006826,melanopygus,Pacific,1965,37.73972,-121.42417,A7,Black,,0,17
BMEC_ENT 00007036,melanopygus,Pacific,1977,31.85953,-116.60312,A8,Black,,0,20
BMEC_ENT 00007037,melanopygus,Pacific,1977,31.85953,-116.60312,A8,Black,,0,20
AMNH_BEE 00121368,melanopygus,Pacific,1920,36.6178,-121.9156,P10M,Black,,0,20
BMEC_ENT 00006631,melanopygus,Pacific,1963,37.97472,-122.56166,E2,Black,,0,20
OTM 043,melanopygus,,2016,42.065,-124.303,,Black,,0,20
562510,melanopygus,Pacific,1966,34.018611,-119.682778,E3M,Black,,0,22
562511,melanopygus,Pacific,1966,34.018611,-119.682778,E3M,Black,,0,22
562512,melanopygus,Pacific,1966,34.018611,-119.682778,A9M,Black,,0,22
562513,melanopygus,Pacific,1966,34.018611,-119.682778,A9M,Black,,0,22
562514,melanopygus,Pacific,1966,34.018611,-119.682778,A9M,Black,,0,22
562515,melanopygus,Pacific,1966,34.018611,-119.682778,A9M,Black,,0,22
BMEC_ENT 00006831,melanopygus,Pacific,1961,38.29027,-122.45972,A8,Black,,0,22
BMEC_ENT 00006832,melanopygus,Pacific,1961,38.29027,-122.45972,A8,Black,,0,22
BMEC_ENT 00006833,melanopygus,Pacific,1961,38.29027,-122.45972,A8,Black,,0,22
AMNH_BEE 00121365,melanopygus,Pacific,1952,39.30778,-123.798,A4M,Black,,0,22
Bmel B064,melanopygus,Pacific,2015,41.769369,-124.155144,,Black,,0,24
Bmel B032,melanopygus,,2014,44.05181389,-124.1095361,,Black,,0,24
Bmel B061,melanopygus,,2014,44.05181389,-124.1095361,,Black,,0,24
Beme 019,melanopygus,Pacific,2014,44.05181389,-124.1095361,,Black,,0,24
Bmel B028,melanopygus,Pacific,2014,44.05181389,-124.1095361,,Black,,0,24
Bmel B033,melanopygus,Pacific,2014,44.05181389,-124.1095361,,Black,,0,24
562621,melanopygus,Pacific,1963,42.794167,-124.488611,A9M,Black,,0,26
562540,melanopygus,Pacific,1949,38.417909,-122.351098,A7M,Black,,0,30
