USA1_alt,Specimen.I,Species,Complex,Year,Lat,Lon,Color,T2T3Red
539,9520,melanopygus,Pacific,2003,40.781111,-124.005556,1,0
766,AMNH_BEE 00054328,melanopygus,Pacific,1934,41.065,-122.70306,1,0
766,AMNH_BEE 00054328,melanopygus,Pacific,1934,41.065,-122.70306,1,0
766,AMNH_BEE 00054328,melanopygus,Pacific,1934,41.065,-122.70306,1,0
,OTM 049,melanopygus,,2016,41.1,-124.344,1,0
974,BMEC_ENT 00006905,melanopygus,Pacific,1955,41.10157,-122.77786,1,0
974,BMEC_ENT 00006905,melanopygus,Pacific,1955,41.10157,-122.77786,1,0
974,BMEC_ENT 00006905,melanopygus,Pacific,1955,41.10157,-122.77786,1,0
974,BMEC_ENT 00006905,melanopygus,Pacific,1955,41.10157,-122.77786,1,0
,OTM 045,melanopygus,,2016,41.14,-124.161,1,0
,OTM 045,melanopygus,,2016,41.14,-124.161,1,0
103,AMNH_BEE 00122029,melanopygus,Pacific,1964,41.157,-124.124,1,0
103,AMNH_BEE 00122029,melanopygus,Pacific,1964,41.157,-124.124,1,0
103,AMNH_BEE 00122029,melanopygus,Pacific,1964,41.157,-124.124,1,0
103,AMNH_BEE 00122029,melanopygus,Pacific,1964,41.157,-124.124,1,0
1471,BMEC_ENT 00006927,melanopygus,Pacific,1949,41.18333,-122.73333,1,0
733,ENT.796055,melanopygus,Pacific,1934,41.208019,-122.273798,1,0
1300,BMEC_ENT 00006169,melanopygus,Pacific,1954,41.21,-121.68,1,0
994,562106,melanopygus,Pacific,1955,41.216389,-122.645278,1,0
994,562106,melanopygus,Pacific,1955,41.216389,-122.645278,1,0
994,562106,melanopygus,Pacific,1955,41.216389,-122.645278,1,0
994,562106,melanopygus,Pacific,1955,41.216389,-122.645278,1,0
994,562106,melanopygus,Pacific,1955,41.216389,-122.645278,1,0
994,562106,melanopygus,Pacific,1955,41.216389,-122.645278,1,0
49,OTM 047,melanopygus,,2016,41.221,-124.094,1,0
1252,562409,melanopygus,Pacific,1974,41.265,-121.803056,1,0
