,auricomus,nevadensis,vagans,centralis,balteatus,rufocinctus,melanopygus,flavifrons,vandykei,caliginosus,perplexus,bifarius,ternarius,huntii,vosnesenskii,impatiens,sylvicola,bimaculatus,affinis,appositus,borealis,californicus,fervidus,fraternus,franklini,griseocollis,crotchii,morrisoni,occidentalis,terricola,pennsylvanicus,sitkensis,sonorus,frigidus,sandersoni,mixtus
auricomus,0,5.67,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29
nevadensis,5.67,0,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29
vagans,61.29,61.29,0,10.2,36.42,43.82,26.96,10.2,10.2,10.2,26.96,26.96,26.96,26.96,26.96,26.96,26.96,26.96,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,26.96,47.13,26.96,26.96,26.96
centralis,61.29,61.29,10.2,0,36.42,43.82,26.96,5.62,5.62,5.62,26.96,26.96,26.96,26.96,26.96,26.96,26.96,26.96,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,26.96,47.13,26.96,26.96,26.96
balteatus,61.29,61.29,36.42,36.42,0,43.82,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,36.42,26.85,47.13,47.13,47.13,47.13,43.82,26.85,43.82,43.82,43.82,26.85,26.85,47.13,36.42,47.13,36.42,36.42,36.42
rufocinct,61.29,61.29,43.82,43.82,43.82,0,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,43.82,47.13,47.13,47.13,47.13,31.39,43.82,31.39,31.39,31.39,43.82,43.82,47.13,43.82,47.13,43.82,43.82,43.82
melanopygus,61.29,61.29,26.96,26.96,36.42,43.82,0,26.96,26.96,26.96,25.88,19.73,19.73,19.73,19.73,19.73,12.11,12.11,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,25.88,47.13,25.88,25.88,25.88
flavifrons,61.29,61.29,10.2,5.62,36.42,43.82,26.96,0,5.02,5.02,26.96,26.96,26.96,26.96,26.96,26.96,26.96,26.96,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,26.96,47.13,26.96,26.96,26.96
vandykei,61.29,61.29,10.2,5.62,36.42,43.82,26.96,5.02,0,4.2,26.96,26.96,26.96,26.96,26.96,26.96,26.96,26.96,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,26.96,47.13,26.96,26.96,26.96
caliginosus,61.29,61.29,10.2,5.62,36.42,43.82,26.96,5.02,4.2,0,26.96,26.96,26.96,26.96,26.96,26.96,26.96,26.96,36.42,47.13,47.13,47.13,47.13,43.82,36.42,43.82,43.82,43.82,36.42,36.42,47.13,26.96,47.13,26.96,26.96,26.96
