Specimen.ID,Species,Complex,Year,Lat,Lon,T2T3Red,T2BlackSum,T2OrangeSum,T3BlackSum,T3OrangeSum,T2Black,T2Orange,T2White,T2Yellow,T3Black,T3Orange,T3White,T3Yellow,T6Yellow,T2A1Black,T2A1Orange,T2A1White,T2A1Yellow,T2A2Black,T2A2Orange,T2A2White,T2A2Yellow,T2A3Black,T2A3Orange,T2A3White,T2A3Yellow,T2A4Black,T2A4Orange,T2A4White,T2A4Yellow,T2B1Black,T2B1Orange,T2B1White,T2B1Yellow,T2B2Black,T2B2Orange,T2B2White,T2B2Yellow,T2B3Black,T2B3Orange,T2B3White,T2B3Yellow,T2B4Black,T2B4Orange,T2B4White,T2B4Yellow,T2C1Black,T2C1Orange,T2C1White,T2C1Yellow,T2C2Black,T2C2Orange,T2C2White,T2C2Yellow,T2C3Black,T2C3Orange,T2C3White,T2C3Yellow,T2C4Black,T2C4Orange,T2C4White,T2C4Yellow,T2D1Black,T2D1Orange,T2D1White,T2D1Yellow,T2D2Black,T2D2Orange,T2D2White,T2D2Yellow,T2D3Black,T2D3Orange,T2D3White,T2D3Yellow,T2D4Black,T2D4Orange,T2D4White,T2D4Yellow,T3A1Black,T3A1Orange,T3A1White,T3A1Yellow,T3A2Black,T3A2Orange,T3A2White,T3A2Yellow,T3A3Black,T3A3Orange,T3A3White,T3A3Yellow,T3A4Black,T3A4Orange,T3A4White,T3A4Yellow,T3B1Black,T3B1Orange,T3B1White,T3B1Yellow,T3B2Black,T3B2Orange,T3B2White,T3B2Yellow,T3B3Black,T3B3Orange,T3B3White,T3B3Yellow,T3B4Black,T3B4Orange,T3B4White,T3B4Yellow,T3C1Black,T3C1Orange,T3C1White,T3C1Yellow,T3C2Black,T3C2Orange,T3C2White,T3C2Yellow,T3C3Black,T3C3Orange,T3C3White,T3C3Yellow,T3C4Black,T3C4Orange,T3C4White,T3C4Yellow,T3D1Black,T3D1Orange,T3D1White,T3D1Yellow,T3D2Black,T3D2Orange,T3D2White,T3D2Yellow,T3D3Black,T3D3Orange,T3D3White,T3D3Yellow,T3D4Black,T3D4Orange,T3D4White,T3D4Yellow
AMNH_BEE 00095244,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095245,bifarius,Pacific,1917,35.578,-118.655,0,12,0,16,0,0.75,0,0,0.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095246,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095247,bifarius,Pacific,1917,35.578,-118.655,0,12,0,16,0,0.75,0,0,0.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095248,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095249,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095250,bifarius,Pacific,1917,35.578,-118.655,0,12,0,16,0,0.75,0,0,0.25,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095251,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095252,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
AMNH_BEE 00095253,bifarius,Pacific,1917,35.578,-118.655,0,8,0,16,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
